	no match	probability was too low
Пов. о Шиле.	no match	probability was too low
Пов. о Щиле	Пов. о Щиле	100
Пов. о Щиле1	Пов. о Щиле1	100
Пов. о видении	Пов. о видении	100
Пов. о видении Варл.	Пов. о видении Варл.	100
Пов. о видении нек.	Пов. о видении нек.	100
Пов. о втор. бр. Вас. III	Пов. о втор.бр.Вас.III	95
Пов. о втор. бр. Вас.ІІІ	no match	probability was too low
Пов. о втор.бр.Вас. III	Пов. о втор.бр.Вас.III	98
Пов. о крест, сыне	Пов. о крест.сыне	97
Пов. о крест. сыне	Пов. о крест.сыне	97
Пов. о крест. сыне1	Пов. о крест.сыне	94
Пов. о куп. Григ.	Пов. о куп.Григ.	97
Пов. о куп.Григ.	Пов. о куп.Григ.	100
Пов. о начале Москвы1	Пов. о начале Москвы1	100
Пов. о начале Москвы2	Пов. о начале Москвы2	100
Пов. о нек. брани	Пов. о нек.брани	97
Пов. о нек. брани1	Пов. о нек.брани1	97
Пов. о папе Григ.	Пов. о папе Григ.	100
Пов. о разор. Торжка	Пов. о разор.Торжка	97
Пов. о разор.Торжка	Пов. о разор.Торжка	100
Пов. о разуме	Пов. о разуме	100
